Malaya rules_normalizer — 3374 entries
==================================================

&                              -> dan
customer                       -> pelanggan
cwe                            -> cewek
cwek                           -> cewek
cwnya                          -> temannya
cwo                            -> teman lelaki
cwok                           -> cowok
cyiiin                         -> cinta
cyin                           -> cinta
d                              -> di
d.apa                          -> diapa
d.bikinin                      -> dibikin
da                             -> dah
dah                            -> dah
dahh                           -> dah
dak                            -> indak
dak2                           -> budak-budak
damaged                        -> rosak
dapek                          -> dapat
dapet                          -> dapat
dapetin                        -> mendapatkan
dapnya                         -> sedapnya
dapnye                         -> sedapnya
darpada                        -> daripada
dasyat                         -> dahsyat
dateng                         -> datang
day                            -> hari
dazrin                         -> dazrin
dbalingnya                     -> dibalingnya
dblkang                        -> dibelakang
dblkng                         -> dibelakang
dbnding                        -> dibanding
dbuat                          -> dibuat
dbwh                           -> dibawah
dcintai                        -> dicintai
ddlm                           -> di dalam
ddpat                          -> didapat
de                             -> ada
debay                          -> adik bayi
dec                            -> disember
december                       -> disember
dech                           -> dah
dede                           -> adik
dedek                          -> adik
dedeknya                       -> adeknya
dee                            -> 
deep                           -> dalam
dehat                          -> sihat
deket                          -> dekat
deketin                        -> dekati
dekt                           -> dekat
deliberately                   -> sengaja
dempga                         -> semoga
dengarin                       -> mendengarkan
denger                         -> dengar
dengerin                       -> mendengarkan
depa                           -> mereka
dessa                          -> desa
deuhh                          -> aduh
dgn                            -> dengan
dgr                            -> dengar
dh                             -> dah
dhe                            -> dah
dhi                            -> di
dhpusin                        -> dihapuskan
diajarin                       -> diajari
diakibtkn                      -> diakibatkan
diamkn                         -> diamkan
dianter                        -> dihantar
dianterin                      -> dihantar
diapain                        -> diapakan
dibangga'in                    -> dibangga-banggakan
dibanggain                     -> dibanggakan
dibiarin                       -> dibiarkan
dibkatakan                     -> dikatakan
dibls                          -> dibalas
dibnggain                      -> dibanggakan
didapet                        -> didapat
didatengin                     -> didatangi
didengerin                     -> didengarkan
didunia                        -> di dunia
dieee                          -> dia
diem                           -> diam
diemin                         -> diamkan
diemm                          -> diam
difotoin                       -> difoto
digabtikan                     -> digantikan
digambarin                     -> digambarkan
diginiin                       -> dibeginikan
diginikan                      -> dibeginikan
digituin                       -> dibegitukan
dihargain                      -> dihargai
dihpus                         -> dihapus
diindonesis                    -> diindonesia
diingetin                      -> diingatkan
dijadiin                       -> dijadikan
dijelekin                      -> dijelekkan
dijkt                          -> dijakarta
dijwb                          -> dijawab
dik                            -> adik
dikatain                       -> dikatai
dikemanain                     -> dikemanakan
dikerasin                      -> dikerasi
diksi                          -> dikasih
diladenin                      -> diladeni
diliat                         -> dilihat
diliatnya                      -> dilihatnya
dilindungin                    -> dilindungi
diluangin                      -> diluangkan
dimao                          -> dimau
dimarahin                      -> dimarahi
dimasukin                      -> dimasuki
dimusiumin                     -> dimuseumkan
dinamakn                       -> dinamakan
dinner                         -> makan malam
dinyanyiin                     -> dinyanyikan
diorang                        -> mereka
diorng                         -> mereka
dipake                         -> dipakai
dipermainin                    -> dipermainkan
dipikirin                      -> dipikirkan
dipojokin                      -> dipojokkan
diputusin                      -> diputuskan
direct                         -> secara terus
dirmh                          -> dirumah
dirumahny                      -> dirumahnya
disni                          -> disini
disupirin                      -> ditemani
ditayangin                     -> ditayangkan
ditutupin                      -> ditutupi
diurusin                       -> diurusi
diving                         -> junam
dket2in                        -> dekat-dekati
dkt                            -> dekat
dkuburnya                      -> dikuburnya
dlam                           -> dalam
dlempar                        -> dilempar
dlm                            -> dalam
dlt                            -> padam
dlu                            -> dahulu
dluar                          -> diluar
dmana                          -> dimana
dmn                            -> dimana
dmna                           -> dimana
dn                             -> dan
dng                            -> dengan
dngan                          -> dengan
dngerin                        -> mendengarkan
dnk                            -> lah
doangam                        -> doang
doank                          -> doang
doeloe                         -> dahulu
dokleh                         -> tak boleh
dokter                         -> doktor
done                           -> siap
donk                           -> lah
donkk                          -> lah
donks                          -> lah
dont                           -> jangan
donx                           -> lah
dorg                           -> mereka
dosax                          -> dosanya
dpermudhkn                     -> dipermudahkan
dpke                           -> dipakai
dposisi                        -> diposisi
dpotong                        -> dipotong
dpt                            -> dapat
dptkan                         -> dapatkan
dptnya                         -> dapatnya
dri                            -> dari
drii                           -> dari
drimana                        -> darimana
drimnanya                      -> darimananya
dripada                        -> daripada
dripda                         -> daripada
drmn                           -> darimana
drpada                         -> daripada
drpd                           -> daripada
dsana                          -> disana
dsar                           -> dasar
dsb                            -> dan sebagainya
dsini                          -> disini
dsna                           -> disana
dsni                           -> disini
dsnr                           -> Datuk Seri Najib Razak
dsr                            -> dasar
dsrny                          -> dasarnya
dssi                           -> disisi
dstu                           -> disitu
dteng                          -> datang
dtg                            -> datang
dtggu                          -> ditunggu
dtgkan                         -> datangkan
dtinggl                        -> ditinggal
dtnggu                         -> ditunggu
dtunggu                        -> ditunggu
duetin                         -> duet
duk                            -> asyik
dulu                           -> dahulu
dung                           -> lah
dunk                           -> lah
dwh                            -> dah
dwsa                           -> dewasa
dy                             -> dia
dya                            -> dia
eakyu                          -> waktu
educate                        -> mendidik
eey                            -> eh
eighth                         -> kelapan
eksprsi                        -> ekspresi
elaaaahhhh                     -> alah
elo                            -> lah
elo2                           -> lo-lo
eloo                           -> lah
ema                            -> emak
emakx                          -> emaknya
emang                          -> memang
emangnya                       -> memangnya
emank                          -> memang
emeezzz                        -> gemas
emeshh                         -> gemas
emesshhh                       -> gemas
emng                           -> memang
emngnya                        -> memangnya
emnknya                        -> memangnya
engga                          -> tidak
engk                           -> tidak
enk                            -> sedap
ensure                         -> memastikan
entr                           -> entar
epe                            -> apa
everything                     -> semua
ewahh                          -> wah
ex                             -> bekas
expect                         -> sangka
experience                     -> pengalaman
expresi                        -> ekspresi
eyke                           -> aku
family                         -> keluarga
fans                           -> fan
fatanik                        -> fanatik
fav                            -> kegemaran
fb                             -> facebook
february                       -> februari
fhoto                          -> foto
fhotonya                       -> fotonya
fifth                          -> kelima
fikiran                        -> pikiran
filmny                         -> filemnya
fired                          -> pecat
first                          -> pertama
fkr                            -> fikir
flight                         -> kapal terbang
flim.a                         -> filmnya
flm                            -> film
for                            -> untuk
fotbar                         -> foto barang
fotoin                         -> memfoto
fotony                         -> fotonya
fourth                         -> keempat
free                           -> percuma
frestasiii                     -> prestasi
fri                            -> jumaat
friday                         -> jumaat
friend                         -> kawan
fto2                           -> foto-foto
fyi                            -> untuk pengetahuan anda
g                              -> pergi
gaa                            -> tidak
gaada                          -> tidak ada
gabakal                        -> tidak jadi
gabisa                         -> tidak perlu
gada                           -> tiada
gag                            -> tidak
gagahx                         -> gagahnya
gaharus                        -> jangan harus
gais                           -> semua orang
gaje                           -> tidak jelas
gajelas                        -> tak jelas
gak                            -> juga
gakk                           -> juga
gakkk                          -> tidak
gakpapa                        -> tiada apa-apa
gakuat                         -> tidak kuat
gakusah                        -> tidak perlu
gakwad                         -> tidak kuat
gamau                          -> tidak mahu
gambarin                       -> gambarkan
gangguin                       -> mengganggu
gans                           -> tampan
ganteung                       -> tampan
gantheng                       -> tampan
ganti'kn                       -> menggantikan
gantiin                        -> menggantikan
gantila                        -> gantilah
gantirugi                      -> ganti rugi
gantng                         -> tampan
gantweng                       -> tampan
ganu                           -> terengganu
gapake                         -> tidak pakai
gapap                          -> tiada apa-apa
gapernah                       -> tak pernah
gaprgi                         -> tidak pergi
gapunya                        -> bukan punya
garemin                        -> garami
gasalah                        -> tidak salah
gasih                          -> tidak lah
gatau                          -> tidak tahu
gataunya                       -> tidak tahu
gausa                          -> tidak perlu
gausah                         -> tak perlu
gawl                           -> gaul
gawul                          -> gaul
gayannxa                       -> gayanya
gayany                         -> gayanya
gayax                          -> gayanya
gda                            -> tiada
gde                            -> gede
gebleg                         -> geblek
gedeg                          -> gedek
geeelaakk                      -> gila
gegra                          -> gegara
geh                            -> ya
gehh                           -> gih
gemay                          -> gemas
gemeessss                      -> gemas
gemen                          -> kerajaan
gemes                          -> gemas
gemesiin                       -> menggemaskan
gemesin                        -> menggemaskan
gemesinnnnn                    -> menggemaskan
gemesnya                       -> gemasnya
gemess                         -> gemas
gemesss                        -> gemas
gemesyak                       -> gemas ya
gemez                          -> gemas
gemezz                         -> gemas
gemezzzz                       -> gemas
geneeee                        -> begini
gentlemen                      -> lelaki budiman
gerek                          -> basikal
gerenti                        -> jaminan
gewlaaaaa                      -> gila
gf                             -> teman wanita
gga                            -> tidak
gi                             -> pergi
gilak                          -> gila
gilakkkkk                      -> gila
gilakkkkkk                     -> gila
gile                           -> gila
gils                           -> gila
gilsss                         -> gila
gilzz                          -> gila
gimana                         -> bagaimana
gimanaa                        -> bagaimana
gimanaaaa                      -> bagaimana
gimn                           -> bagaimana
gimna                          -> bagaimana
gingsungny                     -> gingsulnya
gini                           -> begini
ginian                         -> beginian
ginii                          -> begini
giniii                         -> begini
giniin                         -> beginikan
ginting                        -> tampan
giti                           -> begitu
gitu                           -> begitu
gituan                         -> begituan
gituh                          -> begitu
gituin                         -> begitukan
gitulah                        -> begitulah
gk                             -> juga
gkhianati                      -> mengkhianati
gkk                            -> juga
gkkan                          -> tidak akan
gksalah                        -> tidak salah
gksi                           -> tidak lah
glembeeeer                     -> gelambir
gmana                          -> bagaimana
gmanapun                       -> bagaimanapun
gmau                           -> tidak mahu
gmn                            -> bagaimana
gmna                           -> bagaimana
gmpg                           -> gampang
gndakan                        -> gandakan
gni                            -> begini
gnii                           -> begini
gnti                           -> ganti
gnyngka                        -> tak sangka
go                             -> pergi
gojes                          -> cantik
gojess                         -> cantik
gokiiill                       -> gila
gokil                          -> gila
gokill                         -> gila
gokilll                        -> gila
gokillllll                     -> gila
gokilnya                       -> gilanya
gomen                          -> kerajaan
goment                         -> kerajaan
goncengin                      -> boncengkan
good                           -> baik
gosipin                        -> menggosipkan
gr2                            -> gara-gara
gra2                           -> gara-gara
greged                         -> greget
grgr                           -> gara-gara
grm                            -> gram
ground                         -> tanah
grunya                         -> gurunya
gtau                           -> tidak tahu
gthu                           -> begitu
gtu                            -> begitu
