Malaya rules_normalizer — 3374 entries
==================================================

&                              -> dan
nti                            -> nanti
ntik                           -> cantik
ntikk                          -> cantik
ntmy                           -> selamat berkenalan
ntn                            -> menonton
nton                           -> menonton
ntr                            -> hantar
ntuk                           -> untuk
nuduh                          -> menuduh
nulis                          -> menulis
nunduk                         -> menunduk
nunggu                         -> menunggu
nungguin                       -> menunggu
nuntut                         -> menuntut
nusuk                          -> menusuk
nutupin                        -> menutupi
nyadar                         -> menyadar
nyah                           -> nya
nyakitin                       -> menyakiti
nyalahin                       -> menyalahkan
nyamain                        -> menyamakan
nyambet                        -> menyambat
nyambung                       -> menyambung
nyambungin                     -> menyambung
nyampah                        -> menyampah
nyampe                         -> sampai
nyampein                       -> menyampaikan
nyampenya                      -> sampainya
nyangka                        -> menyangka
nyangkaa                       -> menyangka
nyangkutnya                    -> menyangkutnya
nyanyiin                       -> menyanyikan
nyaranin                       -> menyarankan
nyari                          -> mencari
nyaru                          -> menyaru
nyatakan                       -> menyatakan
nyatok                         -> mencatok
nye                            -> nya
nyebelin                       -> menyebalkan
nyebur                         -> mencebur
nyebut2                        -> menyebut-nyebut
nyebutin                       -> menyebutkan
nyela                          -> mencela
nyelesain                      -> menyelesaikan
nyempetin                      -> menyempatkan
nyender                        -> menyandar
nyenengin                      -> menyenangkan
nyengir                        -> menyengir
nyeniii                        -> menyeni
nyeplak                        -> menjiplak
nyerang                        -> menyerang
nyerocooooos                   -> membebel
nyerocos                       -> membebel
nyesek                         -> menyesak
nyesel                         -> menyesal
nyesell                        -> menyesal
nyet                           -> monyet
nyia2in                        -> menyia-nyiakan
nyimak                         -> menyimak
nyimpen                        -> menyimpan
nyindir                        -> menyindir
nyindirin                      -> menyindir
nyinyirin                      -> sarkastik
nyo                            -> nya
nyoba                          -> mencoba
nyobain                        -> mencoba
nyok                           -> yuk
nyolong                        -> mencolong
nyolot                         -> menyolot
nyolotinnnn                    -> menyolot
nyta                           -> nyata
nyubit                         -> mencubit
nyubitt                        -> mencubit
nyupir                         -> memandu
nyusahhin                      -> menyusahkan
nyusahin                       -> menyusahkan
nyusul                         -> menyusul
oalaaaa                        -> walah
oct                            -> oktober
october                        -> oktober
ofis                           -> pejabat
ohh                            -> oh
oii                            -> hoi
omaigod                        -> ya tuhanku
omdo                           -> kata kosong
omg                            -> ya tuhanku
omongin                        -> omongkan
one                            -> satu
online                         -> dalam talian
onoh                           -> sono
oplas                          -> operasi plastik
oprasi                         -> operasi
oprasiya                       -> operasinya
or                             -> atau
orabg                          -> orang
org                            -> orang
org2                           -> orang-orang
orgny                          -> orangnya
orgtuanya                      -> orang tuanya
ori                            -> orisinal
orlaen                         -> orang lain
orng                           -> orang
orrunya                        -> orang tuanya
ortu                           -> orang tua
ortuny                         -> orang tuanya
ortunya                        -> orang tuanya
otek                           -> otak
owalaah                        -> walah
owh                            -> oh
p                              -> pergi
paati                          -> pasti
pacara                         -> pacaran
pacarane                       -> pacarannya
pacaranya                      -> pacarannya
pacarn                         -> pacaran
pacik2                         -> pakcik-pakcik
padahl                         -> padahal
padet                          -> padat
padetan                        -> padatan
padhe                          -> pakcik
padhl                          -> padahal
pahalax                        -> pahalanya
pahamin                        -> memahami
pahey                          -> faham
paid                           -> dah bayar
pait                           -> pahit
pake                           -> pakai
pakek                          -> pakai
pakke                          -> pakai
paksain                        -> memaksa
pakwe                          -> teman lelaki
pala                           -> kepala
palabana                       -> kepala otak
pale                           -> kepala
palgi                          -> apa lagi
palinf                         -> paling
pandanginya                    -> memandanginya
panggilan'y                    -> panggilannya
panggilan'ya                   -> panggilannya
pans                           -> fan
pantes                         -> pantas
papero                         -> apa-apa bagitahu
paripurnahh                    -> paripurna
parsis                         -> persis
pasai                          -> hal
pasaipa                        -> kenapa
pasal                          -> masalah
pasangn                        -> pasangan
pasni                          -> lepas ini
passengers                     -> penumpang
passengger                     -> penumpang
pastu                          -> lepas itu
pcar                           -> teman lelaki
pcaran                         -> pacaran
pcaranya                       -> pacarannya
pcarny                         -> pacarnya
pcran                          -> pacaran
pcrn                           -> pacaran
pcrnya                         -> pacarnya
pd                             -> pada
pda                            -> pada
pdahal                         -> padahal
pdhal                          -> padahal
pdhall                         -> padahal
pdhl                           -> padahal
pdng                           -> padang
pedajal                        -> memburukkan
pede                           -> percaya diri
pedes                          -> pedas
peduliin                       -> mempedulikan
peen                           -> pingin
peengn                         -> ingin
pegangin                       -> memegang
pegi                           -> pergi
pegih                          -> pergi
pekerje                        -> pekerja
pekrja                         -> pekerja
pelastik                       -> plastik
peleotin                       -> meleot
pelwak                         -> pelawak
pemainy                        -> pemainnya
penasarn                       -> penasaran
penbelian                      -> pembelian
pengalam                       -> pengalaman
pengan                         -> ingin
penganten                      -> pengantin
pengen                         -> ingin
pengenn                        -> ingin
pengennnn                      -> ingin
penghrgaan                     -> penghargaan
pengikuy                       -> pengikut
pengn                          -> ingin
pengrusak                      -> perosak
pensaran                       -> penasaran
penyakitny                     -> penyakitnya
perabih                        -> perabis
peragain                       -> peragakan
perasaanny                     -> perasaannya
perbaikin                      -> memperbaiki
percya                         -> percaya
perhatiam                      -> perhatian
perhatiin                      -> perhatikan
perilakuny                     -> perilakunya
perjabatt                      -> pejabat
perkerja                       -> pekerja
permasalhkan                   -> permasalahkan
perna                          -> pernah
pernikahn                      -> pernikahan
pertamany                      -> pertamanya
pertma                         -> pertama
perubut                        -> perebut
pesen                          -> pesan
pg                             -> pergi
pgen                           -> ingin
pgi                            -> pagi
pgin                           -> ingin
pgnnya                         -> teringinnya
ph                             -> pakatan harapan
phang                          -> pahang
phuii                          -> puih
pikir                          -> fikir
pilihannny                     -> pilihannya
pilihnmu                       -> pilihanmu
pilm                           -> film
pilot                          -> juruterbang
pingin                         -> ingin
pinginnn                       -> ingin
pinter                         -> pintar
pintr                          -> pintar
pipi'y                         -> pipinya
pipine                         -> pipinya
pishang                        -> bosan
pishangg                       -> bosan
pjang                          -> pajang
pjg                            -> panjang
pk                             -> fikir
pkai                           -> pakai
pke                            -> pakai
pkee                           -> pakai
pkek                           -> pakai
pkerja                         -> pekerja
pkerjaan                       -> pekerjaan
pki                            -> pakai
pkk                            -> pakai
pkoknya                        -> pokoknya
pkoknyaa                       -> pokoknya
pkrin                          -> pikirkan
plak                           -> pula
please                         -> tolong
plg                            -> pulang
pling                          -> paling
pljaran                        -> pelajaran
pljrn                          -> pelajaran
pls                            -> tolong
plsa                           -> pulsa
pmbantu                        -> pembantu
pmbelajaran                    -> pembelajaran
pmbyran                        -> pembayaran
pndah                          -> pindah
pndang                         -> pandang
pndapat                        -> pendapat
pngen                          -> ingin
pngenn                         -> ingin
pnh                            -> pernah
pnjang                         -> panjang
pnjerumus                      -> penjerumus
pnjng                          -> panjang
pnjual                         -> penjual
pnt                            -> penat
pnting                         -> penting
pnuh                           -> penuh
pny                            -> punya
pnya                           -> punya
pnyaa                          -> punya
poko                           -> pokok
pokok'a                        -> pokoknya
pokonya                        -> pokoknya
pon                            -> pun
ponakn                         -> ponakan
positippp                      -> positif
poyo                           -> berlagak
praktekin                      -> mempraktikkan
prasaan                        -> perasaan
prawatan                       -> perawatan
prcuma                         -> percuma
prcy                           -> percaya
prcya                          -> percaya
prempuan                       -> perempuan
prh                            -> parah
prhatian                       -> perhatian
prinadi                        -> pribadi
priority                       -> keutamaan
prjuangan                      -> perjuangan
prlu                           -> perlu
prmpuan                        -> perempuan
prnah                          -> pernah
prnh                           -> pernah
prodac                         -> produk
prodak                         -> produk
prodaknya                      -> produknya
promil                         -> program hamil
propa                          -> propaganda
properties                     -> harta benda
protestin                      -> protestan
prsatukn                       -> persatukan
prtamax                        -> pertamanya
prwatn                         -> perawatan
prwtn                          -> perawatan
psangan                        -> pasangan
psgn                           -> pasangan
psti                           -> pasti
ptugas                         -> petugas
pub                            -> kelab malam
pucing                         -> pusing
pukulin                        -> pukuli
pulak                          -> pula
pungkoq                        -> punggung
puye                           -> punya
pwrcuma                        -> percuma
pyahnya                        -> payahnya
pyudara                        -> payudara
qaqaaaa                        -> kakak
qmu                            -> kamu
qta                            -> kita
quality                        -> kualiti
quit                           -> keluar
ramly                          -> ramly
rana                           -> ranah
rapih                          -> rapi
rasaiin                        -> rasai
rasain                         -> merasai
rasakn                         -> rasakan
recomendasinya                 -> rekomendasinya
recommendasi                   -> rekomendasi
redho                          -> ridho
rege                           -> harga
reger                          -> harga
rekomendain                    -> rekomendasikan
rekomendasiiin                 -> merekomendasikan
rekomendasiin                  -> rekomendasikan
rekomndd                       -> rekomendasi
rempong                        -> repot
repong                         -> repot
report                         -> laporan
resigned                       -> meletakkan jawatan
respect                        -> hormat
rezeqinya                      -> rezekinya
rezki                          -> rezeki
ributin                        -> meributkan
rizal                          -> rizal
rm                             -> ringgit
rmbt                           -> rambut
rmbut                          -> rambut
rmbutnya                       -> rambutnya
rmbuut                         -> rambut
rmh                            -> rumah
romantisny                     -> romantisnya
romantiz                       -> romantis
romntis                        -> romantis
rosak                          -> rosak
rosok                          -> rosak
rse                            -> rasa
rumh                           -> rumah
rumpiin                        -> rumpi
s'lalu                         -> selalu
s*inetr*n                      -> sinetron
s3ndiri                        -> sendiri
sabal                          -> sabar
sabaro                         -> sabar
sacked                         -> buang
sado                           -> bertubuh sasa
saja                           -> sahaja
saje                           -> sahaja
sakai                          -> selekeh
salahin                        -> salahkan
salehah                        -> salihah
salfok                         -> salah fokus
saltummmm                      -> salah kostum
salute                         -> sanjung
sam                            -> sama
samara                         -> sakinah mawadah rahman
same                           -> sama
samoga                         -> semoga
samp                           -> sampah
sampe                          -> sampai
sampein                        -> sampaikan
sampek                         -> sampai
sampis                         -> sampah habis
sampw                          -> sampai
sanggat                        -> sangat
sangt                          -> sangat
santab                         -> santap
sapa                           -> siapa
sapo                           -> siapa
saranin                        -> menyarankan
sasama                         -> sesama
sat                            -> sabtu
satgi                          -> sebentar lagi
saturday                       -> sabtu
saudra                         -> saudara
sayaa                          -> saya
sayangkuh                      -> sayangku
sayangx                        -> sayangnya
sayy                           -> sayang
sbagai                         -> sebagai
sbaiknya                       -> sebaiknya
sbb                            -> sebab
sbbrnya                        -> sebenarnya
sbbyak                         -> sebanyak
sbelah                         -> sebelah
sbelum                         -> sebelum
sbenernya                      -> sebenarnya
sbg                            -> sebagai
sbgai                          -> sebagai
sbhabat                        -> sahabat
sblah                          -> sebelah
sblh                           -> sebelah
sblm                           -> sebelum
sblmny                         -> sebelumnya
sblmnya                        -> sebelumnya
sblum                          -> sebelum
sbnarnya                       -> sebenarnya
sbnrny                         -> sebenarnya
sbnyak                         -> sebanyak
sbr                            -> sabar
sbuah                          -> sebuah
sbum                           -> sebelum
scpatny                        -> secepatnya
scr                            -> secara
scra                           -> secara
sdah                           -> sudah
sdg                            -> sedang
sdgkn                          -> sedangkan
sdh                            -> sudah
sdkit                          -> sedikit
sdkit2                         -> sedikit-sedikit
sdkt                           -> sedikit
sdri                           -> sendiri
seandainy                      -> seandainya
sebb                           -> sebab
sebelumbya                     -> sebelumnya
sebenernya                     -> sebenarnya
sebijik                        -> sebiji
sebnyak                        -> sebanyak
second                         -> kedua
sedangkn                       -> sedangkan
see                            -> sih
seeh                           -> sih
seehh                          -> ya
seen                           -> dilihat
segan                          -> malu
seger                          -> segar
segerr                         -> segar
segitunya                      -> sebegitunya
segtu                          -> sebegitu
seh                            -> sih
seharusny                      -> seharusnya
sehh                           -> sih
seindonesiyah                  -> seindonesia
sekaeang                       -> sekarang
sekarng                        -> sekarang
seklian                        -> sekalian
sekolahin                      -> sekolahkan
sekrang                        -> sekarang
sekrng                         -> sekarang
selaloe                        -> selalu
selangor                       -> selangor
selfie                         -> swafoto
selmat                         -> selamat
selmnya                        -> selamanya
selmt                          -> selamat
seluru                         -> seluruh
sembuhin                       -> menyembuhkan
semngat                        -> semangat
sempet                         -> sempat
sempoi                         -> cantik
senangat                       -> semangat
senaraihitam                   -> senarai hitam
sendeng                        -> senang
sendirir                       -> sendiri
sendri                         -> sendiri
seneng                         -> senang
senenggg                       -> senang
senengin                       -> senangi
senyumin                       -> senyumi
senyumna                       -> senyumnya
seorg                          -> seorang
serem                          -> seram
seriously                      -> biar betul
service                        -> perkhidmatan
setabil                        -> stabil
seterong                       -> setrong
setju                          -> setuju
seventh                        -> ketujuh
sewain                         -> menyewa
sexi                           -> seksi
sexxi                          -> seksi
sey                            -> sih
sgampang                       -> segampang
sgla                           -> segala
sgt                            -> sangat
sgtu                           -> sebegitu
sgtu'y                         -> sebegitunya
shaaaay                        -> say
shaay                          -> say
shabat                         -> sahabat
shared                         -> kongsi
sharusnya                      -> seharusnya
shat                           -> sihat
shay                           -> say
shayy                          -> say
shayyy                         -> say
shbat                          -> sahabat
shbt                           -> sahabat
shirt                          -> kemeja
sholihah                       -> salihah
shut                           -> tutup
siapayahh                      -> siapa ya
sib                            -> nasib
sibukx                         -> sibuknya
sich                           -> sih
sichh                          -> sih
sichhhhhhhhhh                  -> sih
sie                            -> itu
sihat                          -> sihat
silahkan                       -> silakan
silahkn                        -> silakan
silsturahmi                    -> silaturahmi
simpen                         -> simpan
sinet                          -> sinetron
sintron                        -> sinetron
siriusly                       -> biar betul
sisain                         -> menyisakan
sitayngin                      -> ditayangkan
sixth                          -> keenam
sja                            -> saja
sjk                            -> sejak
ska                            -> suka
skali                          -> sekali
skaligus                       -> sekaligus
skalii                         -> sekali
skarang                        -> sekarang
skedar                         -> sekadar
sket                           -> sikit
skg                            -> sekarang
skit                           -> sakit
skitar                         -> sekitar
sklh                           -> sekolah
skli                           -> sekali
sklinyaa                       -> sekalinya
skluarga                       -> sekeluarga
skolah                         -> sekolah
skrang                         -> sekarang
skrg                           -> sekarang
skrng                          -> sekarang
skrngnya                       -> sekarangnya
skrnh                          -> sekarang
sktika                         -> seketika
sktlrang                       -> sekarang
slah                           -> salah
slahkan                        -> salahkan
slalu                          -> selalu
slaluuuuu                      -> selalu
slam                           -> salam
slama                          -> selama
slamat                         -> selamat
slamet                         -> selamat
slamt                          -> selamat
slangor                        -> selangor
slh                            -> salah
slhkan                         -> salahkan
sling                          -> saling
sll                            -> selalu
sllu                           -> selalu
slmat                          -> selamat
slmnya                         -> salamnya
slmt                           -> selamat
slmttt                         -> selamat
slngor                         -> selangor
sma                            -> sama
smakin                         -> semakin
smangat                        -> semangat
smbhyg                         -> sembahyang
smbil                          -> sambil
smentara                       -> sementara
smg                            -> semoga
smga                           -> semoga
smgaa                          -> semoga
smkin                          -> semakin
smnagatin                      -> menyemangati
smngat                         -> semangat
smnjak                         -> semenjak
smoga                          -> semoga
smogaaa                        -> semoga
smp                            -> sampai
smpai                          -> sampai
smpe                           -> sampai
smpoi                          -> cantik
smpt                           -> sempat
smrg                           -> semarang
smster                         -> semester
smua                           -> semua
smuaaa                         -> semua
smulla                         -> semula
smvk                           -> sempak
sna                            -> sana
sndiri                         -> sendiri
sndr                           -> sendiri
sndri                          -> sendiri
sne                            -> sana
sneng                          -> senang
sngaja                         -> sengaja
sngt                           -> sangat
so                             -> jadi
soal'y                         -> soalnya
soalx                          -> soalnya
soga                           -> moga
sohor                          -> terkenal
sop                            -> tatacara pengendalian piawai
sorang                         -> seorang
sorry                          -> maaf
sotoy                          -> sok tau
sperti                         -> seperti
spertinya                      -> sepertinya
spoting                        -> pembintikan
sprt                           -> seperti
sprti                          -> seperti
spt                            -> seperti
spti                           -> seperti
spy                            -> supaya
sriusly                        -> biar betul
srng                           -> sering
sronok                         -> seronok
srpti                          -> seperti
srruu                          -> seru
srta                           -> serta
ssh                            -> susah
ssorg                          -> seseorang
sstu                           -> sesuatu
staff                          -> staf
stagahhhh                      -> astaga
standing                       -> berdiri
start                          -> mula
statusx                        -> statusnya
steady                         -> mantap
steess                         -> stres
stelah                         -> setelah
stiap                          -> setiap
stidaknya                      -> setidaknya
stimpal                        -> setimpal
stju                           -> setuju
stlh                           -> setelah
stp                            -> setiap
stress                         -> stres
sttus                          -> status
stu                            -> satu
student                        -> pelajar
study                          -> belajar
studycase                      -> kajian kes
stuju                          -> setuju
suami'y                        -> suaminya
suaminga                       -> suaminya
suaminy                        -> suaminya
suaraynyaa                     -> suaranya
subahanallah                   -> subhanallah
subhanalloh                    -> subhanallah
subhnallah                     -> subhanallah
suces                          -> berjaya
sucses                         -> berjaya
sud                            -> sudah
suda                           -> sudah
sudab                          -> sudah
sudh                           -> sudah
suipit                         -> sipit
suka.a                         -> sukanya
sukak                          -> suka
sukakkk                        -> suka
sukam                          -> suka
suko                           -> suka
sukse                          -> berjaya
suksea                         -> berjaya
sumai                          -> suami
sumpeh                         -> sumpah
sumvahh                        -> sumpah
sun                            -> ahad
sunday                         -> ahad
sunggu                         -> sungguh
sure                           -> pasti
suru                           -> suruh
swmntara                       -> sementara
sya                            -> saya
syang                          -> sayang
syantiek                       -> cantik
syantik                        -> cantik
syediih                        -> sedih
syediiihhh                     -> sedih
syekaliii                      -> sekali
syg                            -> sayang
sygkuu                         -> sayangku
sykt                           -> syarikat
syng                           -> sayang
syngnya                        -> sayangnya
synk                           -> sayang
syp                            -> siapa
sypa                           -> siapa
syratnya                       -> syaratnya
syukaaakkk                     -> suka
tadela                         -> tiada lah
taek                           -> tahi
taekk                          -> tahi
tai                            -> tahi
taik                           -> tahi
tak                            -> tidak
takan                          -> tak akan
takat                          -> setakat
takda                          -> tiada
takde                          -> tiada
takdee                         -> tiada
takkan                         -> tidak akan
takleh                         -> tidak boleh
taknak                         -> tidak mahu
takpe                          -> tidak mengapa
tambahim                       -> tambahkan
tambahin                       -> tambahkan
tambh                          -> tambah
tampialannya                   -> tampilannya
tamvann                        -> tampan
tang                           -> tentang
tanggungjawab                  -> bertanggungjawab
tangkep                        -> tangkap
tanyain                        -> tanyakan
tanyang                        -> tayang
taon                           -> tahun
tap8                           -> tapi
tapaw                          -> bungkus
tapi                           -> tetapi
tapo                           -> tapi
taraa                          -> sementara
tau                            -> tahu
taun                           -> tahun
taux                           -> taunya
taw                            -> 
tayik                          -> tahi
taz                            -> atas
tbabit                         -> terbabit
tbuh                           -> tubuh
tdak                           -> tidak
tdi                            -> tadi
tdnya                          -> tadinya
tdr                            -> tidur
tdung                          -> tudung
tdur                           -> tidur
team                           -> pasukan
tebel                          -> tebal
tebir                          -> rumit
telefisi                       -> televisi
telimakacih                    -> terima kasih
temen                          -> teman
temenan                        -> berteman
temenn                         -> teman
temennya                       -> temannya
tempt                          -> tempat
tengaj                         -> tengah
tenggah                        -> tengah
tenny                          -> tenang
tentanh                        -> tentang
tenth                          -> kesepuluh
terangkhn                      -> terangkan
terbaekk                       -> terbaik
terbaeq                        -> terbaik
terimaksih                     -> terima kasih
teringt                        -> teringat
terjrumus                      -> terjerumus
termiribkan                    -> termiripkan
ternodain                      -> ternodai
terossss                       -> terus
terpeleot                      -> terseliuh
teru                           -> terus
teruknye                       -> teruknya
teruz                          -> terus
teruzzz                        -> terus
testi                          -> testimoni
testinya                       -> testimoninya
tetep                          -> tetap
tetp                           -> tetap
teyuss                         -> terus
tghri                          -> tengahari
tgk                            -> tengok
than                           -> tahan
that                           -> itu
thdp                           -> terhadap
then                           -> kemudian
therchakitty                   -> tersakiti
thinking                       -> fikir
third                          -> ketiga
thn                            -> tahun
thnan                          -> tahunan
those                          -> itu
thu                            -> itu
thun                           -> tahun
thurs                          -> khamis
thursday                       -> khamis
tibeh                          -> tiba
tiber                          -> tiba - tiba
tiberr                         -> tiba - tiba
time                           -> masa
tingal                         -> tinggal
tinggalin                      -> tinggalkan
tinggalkn                      -> tinggalkan
tinggl                         -> tinggal
tium                           -> cium
tk                             -> tak
tkda                           -> tiada
tkde                           -> tiada
tkjut                          -> terkejut
tknk                           -> tidak mahu
tkut                           -> takut
tlg                            -> tolong
tlog                           -> tolong
tlsn                           -> tulisan
tlvn                           -> telefon
tman                           -> teman
tmbah                          -> tambah
tmbh                           -> tambah
tmbm                           -> tembam
tmen                           -> teman
tmn                            -> teman
tmpt                           -> tempat
tnang                          -> tenang
tnggongjwb                     -> tanggungjawab
tnggu                          -> tunggu
tngh                           -> tengah
tngok                          -> tengok
tngu                           -> tunggu
tnp                            -> tanpa
tnpa                           -> tanpa
tntg                           -> tentang
tntram                         -> tentram
tnya                           -> tanya
to                             -> kepada
tokayyy                        -> tahi
toketnya                       -> teteknya
toksah                         -> tidak perlu
tolernsi                       -> toleransi
tongolin                       -> menongol
tosak                          -> rosak
tp                             -> tetapi
tpi                            -> tetapi
tpii                           -> tapi
tpon                           -> telefon
tpy                            -> tapi
tq                             -> terima kasih
transfer                       -> pindah
trasa                          -> terasa
trbaik                         -> terbaik
trbaikk                        -> terbaik
trbukti                        -> terbukti
trganggu                       -> terganggu
trgelak                        -> tergelak
trhtung                        -> terhitung
trima                          -> terima
trims                          -> terima kasih
trjadi                         -> terjadi
trjd                           -> terjadi
trknal                         -> terkenal
trkrim                         -> terkirim
trlalu                         -> terlalu
trlihat                        -> terlihat
trll                           -> terlalu
trmanis                        -> termanis
trmasuk                        -> termasuk
trmsuk                         -> termasuk
trnyata                        -> ternyata
troma                          -> trauma
trpsah                         -> terpisah
trrharu                        -> terharu
trs                            -> terus
trsa                           -> terasa
trserah                        -> terserah
trserh                         -> terserah
trsrh                          -> terserah
trun                           -> turun
trus                           -> terus
trusan.a                       -> terusannya
trusss                         -> terus
trussss                        -> terus
trutama                        -> terutama
ts                             -> tan sri
tsb                            -> tersebut
tstony                         -> tan sri tony
ttap                           -> tetap
tteh                           -> teteh
ttep                           -> tetap
ttg                            -> tentang
tth                            -> teteh
tu                             -> itu
tuany                          -> tuanya
tuch                           -> tuh
tues                           -> selasa
tuesday                        -> selasa
tuh                            -> itu
tuhanny                        -> tuhannya
tukan                          -> tukang
tula                           -> itulah
tulah                          -> itu lah
tunjukan                       -> tunjukkan
tunjukin                       -> tunjukkan
tutorialx                      -> tutorialnya
tutupin                        -> menutupi
tuu                            -> itu
tuuu                           -> itu
tuwanya                        -> tuanya
tuwek                          -> tua
tw                             -> tahu
ty                             -> terima kasih
uaaasssiiiik                   -> asyik
ucapin                         -> mengucapkan
ucul                           -> lucu
ucull                          -> lucu
ucullllll                      -> lucu
uda                            -> sudah
udah                           -> sudah
udah2                          -> sudah-sudah
udahh                          -> sudah
udahlah                        -> sudahlah
udeh                           -> sudah
udehh                          -> sudah
udh                            -> sudah
uga                            -> juga
ugaaa                          -> juga
ugha                           -> juga
ughaa                          -> juga
uih                            -> uh
uitnya                         -> duitnya
ujg                            -> ujung
ulan                           -> ulang
ultahe                         -> ultahnya
ultha                          -> ultah
umeno                          -> umno
unfortunately                  -> malangnya
ungkapin                       -> ungkapkan
unhappy                        -> tidak gembira
univ                           -> universiti
untk                           -> untuk
unyuuk                         -> unyu
uolls                          -> kamu semua
up                             -> naik
upkan                          -> naikkan
ur                             -> awak
ursan                          -> urusan
urusanny                       -> urusannya
urusin                         -> urus
urusn                          -> urusan
usa                            -> usah
ush                            -> jangan
ustzah                         -> ustazah
utk                            -> untuk
utkmu                          -> untukmu
uwee                           -> saya
uztad                          -> ustad
very                           -> sangat
viral                          -> tular
vote                           -> undi
waaa                           -> wah
waaaww                         -> wow
waaawwww                       -> wow
wadaaw                         -> aduh
wado                           -> aduh
waknat                         -> bodoh
walik                          -> balik
wanitah                        -> wanita
wanjerrr                       -> anjing
wanjiir                        -> anjing
warkop                         -> warung kopi
warnany                        -> warnanya
warning                        -> amaran
warranty                       -> waranti
wassap                         -> whatsapp
wat                            -> apa
watpe                          -> buat apa
waw                            -> wow
waww                           -> wow
wawwwww                        -> wow
wdooohhh                       -> aduh
wed                            -> rabu
wednesday                      -> rabu
weeeh                          -> wei
weii                           -> wei
well                           -> maklumlah
wenak                          -> sedap
wenakk                         -> sedap
wewww                          -> wow
widihh                         -> ya ampun
wife                           -> isteri
win                            -> menang
with                           -> dengan
wjh                            -> wajah
wkt                            -> waktu
wktu                           -> waktu
wktunya                        -> waktunya
wlau                           -> walau
wlaupun                        -> walaupun
wlawpun                        -> walaupun
wlo                            -> walau
wlwpun                         -> walaupun
woey                           -> woy
wouww                          -> wow
wrn                            -> warna
wt                             -> buat
wuastagah                      -> astaga
x                              -> tak
xbole                          -> tak boleh
xda                            -> tidak ada
xdak                           -> tiada
xde                            -> tidak ada
xlian                          -> kalian
xpe                            -> tidak mengapa
yaah                           -> ya
yaahh                          -> ya
yaampuuuunnnn                  -> ya ampun
yach                           -> ya
yachhh                         -> ya
yaelahhh                       -> alah
yah                            -> ya
yahbh                          -> ya
yahh                           -> ya
yahhh                          -> ya
yahhhh                         -> ya
yak                            -> ya
yakk                           -> ya
yam                            -> ya
yanckh                         -> yang
yank                           -> sayang
yankkk                         -> sayang
yaoloh                         -> yaallah
yaolohh                        -> ya allah
yap                            -> ya
yapp                           -> ya
yappp                          -> ya
yaudh                          -> ya sudah
yawlah                         -> ya allah
yawloh                         -> ya allah
yayang                         -> sayang
yb                             -> Yang Bahagia
ye                             -> ya
yee                            -> ya
yeeee                          -> ya
yela                           -> ya lah
yep                            -> ya
yeuh                           -> ya
yg                             -> yang
yha                            -> ya
yng                            -> yang
ynk                            -> sayang
yoiiu                          -> yoi
yok                            -> yuk
yokk                           -> yuk
yoo                            -> ya
yook                           -> yuk
yoookkkk                       -> yuk
yooookkk                       -> yuk
yooow                          -> ya
you                            -> awak
your                           -> awak
ysh                            -> ya
yuh                            -> tuh
yuk                            -> ya
yuks                           -> yuk
yukss                          -> yuk
yup                            -> ya
yuppss                         -> ya
yuu                            -> yuk
yuuu                           -> yuk
yuwkkk                         -> ya
zama                           -> zaman
